year,single_track_mileage,source,page_number,notes
1900,192556.03,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333 (covers 1900-1916+ in one table); supersedes earlier per-year reading
1901,195561.92,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1902,200154.56,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1903,205313.54,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1904,212243.2,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1905,216973.61,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1906,222340.3,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1907,227454.83,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1908,230494.02,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333; supersedes earlier per-year reading
1909,235402.09,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333
1910,240830.75,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333
1911,246238.02,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333
1912,249852.06,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333
1913,253470.2,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333
1914,256547.1,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333
1915,257569.32,manual,333,Verified by Zach Yusko. Consolidated single/second/third-track table on 1918 volume p333
1916,259705.18,manual,333,"Verified by Zach Yusko. Calendar-year figure (table also separately lists year-ended-June-30: 259,210.86); consolidated table on 1918 volume p333"
1917,259705,manual,528,"Verified by Zach Yusko. saus_1948.pdf No. 564 (Steam Railways--Mileage Owned and Mileage Operated, 1890 to 1946), final/most-authoritative cross-validated table; independently OCR-verified against this exact page"
1918,258507,manual,528,"Verified by Zach Yusko. saus_1948.pdf No. 564, full 1890-1946 table; earlier draft reading from saus_1920.pdf p353 (No. 227/228) had a Class-I-only scope issue, corrected here; independently OCR-verified"
1919,258525,manual,528,"Verified by Zach Yusko. saus_1948.pdf No. 564, full 1890-1946 table; independently OCR-verified"
1920,259941,manual,528,"Verified by Zach Yusko. saus_1948.pdf No. 564, full 1890-1946 table; independently OCR-verified"
1921,258362,manual,528,"Verified by Zach Yusko. saus_1948.pdf No. 564, full 1890-1946 table; independently OCR-verified"
1922,257425,manual,528,"Verified by Zach Yusko. saus_1948.pdf No. 564, full 1890-1946 table; independently OCR-verified"
