year,title,url,sha256,path
1900,1900,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1900.pdf,a87600d8276f91fd562ba56afa5cbe79478b1c96dd526c572cffee8128a8dcdc,data/raw/saus_1900.pdf
1901,1901,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1901.pdf,df77adf53db4343c2c542ba35d406b7e71bef9f7afd81378513917d4322622d8,data/raw/saus_1901.pdf
1902,1902,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1902.pdf,cbe564533bcdc30eab01fc65e14b76bec8a467d811d28c8be93fcf773ee4bc1d,data/raw/saus_1902.pdf
1903,1903,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1903.pdf,59309b1cb8a52a0dbe06e7c3c953faf1a98994bfbb1300f13d22dd9968c9f2d3,data/raw/saus_1903.pdf
1904,1904,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1904.pdf,8e5c9ecc2e8c36ed6a4f295239bb1161f5ae424bb4429cd44a92efd8ae61d258,data/raw/saus_1904.pdf
1905,1905,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1905.pdf,8cd81ce636a32804d0bc8622f0a72b9196d4e11ea50a959871f182c30080d7fd,data/raw/saus_1905.pdf
1906,1906,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1906.pdf,9a0146bdfbef8d387f0d1d1796a41a92a39f01ebe3ba36e2aae67606e510dd38,data/raw/saus_1906.pdf
1907,1907,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1907.pdf,147329c0e46c7685baf23884603cb86dd4206f13634a5d1e427bcd20ed24ad84,data/raw/saus_1907.pdf
1908,1908,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1908.pdf,f2dca12c484a841d2bfbe8a503c2aebde2ae03ee9a9fa190aab765c06cc9d7c5,data/raw/saus_1908.pdf
1909,1909,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1909.pdf,f2c2b66f216c72e60e35fb9064eb3e6cb76afb4388e26fb29b2939961f17f104,data/raw/saus_1909.pdf
1910,1910,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1910.pdf,6e235885f59b60ea1fbf5fea944ec99360939237db21959d6945acf4ef72c841,data/raw/saus_1910.pdf
1911,1911,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1911.pdf,d25d3b146eb519996e66592c363c669110747c46ed670864d8f3c9d3b0f4f607,data/raw/saus_1911.pdf
1912,1912,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1912.pdf,4e52607692d765461b899c33b9fa32e7a91003bac52ebb824d3f949fc968196c,data/raw/saus_1912.pdf
1913,1913,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1913.pdf,458cb6cfee1a6c0fc18c3bb78e144ea44aed6fe7a1c812b4b908b76fb03143f1,data/raw/saus_1913.pdf
1914,1914,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1914.pdf,3d1fcffd9ad066710f867aeffcd5710ac865477c99d9faa1efcf322363f4a3e4,data/raw/saus_1914.pdf
1915,1915,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1915.pdf,679e740fc5148fe9c605fd599347e2d8829d6806fdb1441bc6a6290f1ffa3dbc,data/raw/saus_1915.pdf
1916,1916,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1916.pdf,7c3a042ab5db18d67d15764670f48027bc9b8dc67b37b968db9ac8f65729f352,data/raw/saus_1916.pdf
1917,1917,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1917.pdf,ac2abc316c99323a6cd02de92746afcdeeb7c5421088d9a4849ede9451fbd849,data/raw/saus_1917.pdf
1918,1918,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1918.pdf,2cba5af4ffb86eccd8dddda0a8dd5d533ed70260379959425d885563a6342704,data/raw/saus_1918.pdf
